,number,value,datetime_start,datetime_complete,duration,params_inserts,params_memtable,params_point_queries,state
67,67,730617.0,2024-08-05 13:00:58.433616,2024-08-05 13:01:28.436198,0 days 00:00:30.002582,1.0,hash-linklist,0.0,COMPLETE
68,68,737381.0,2024-08-05 13:01:28.436291,2024-08-05 13:01:58.438206,0 days 00:00:30.001915,1.0,vector,0.0,COMPLETE
69,69,740764.0,2024-08-05 13:01:58.438324,2024-08-05 13:02:28.440911,0 days 00:00:30.002587,1.0,hash-linklist,0.0,COMPLETE
70,70,740764.0,2024-08-05 13:02:28.441059,2024-08-05 13:02:58.443289,0 days 00:00:30.002230,1.0,vector,0.0,COMPLETE
71,71,862701.0,2024-08-05 13:02:58.443414,2024-08-05 13:03:28.445293,0 days 00:00:30.001879,1.0,vector,0.0,COMPLETE
72,72,737214.0,2024-08-05 13:03:28.445388,2024-08-05 13:03:58.447074,0 days 00:00:30.001686,1.0,vector,0.0,COMPLETE
73,73,733999.0,2024-08-05 13:03:58.447147,2024-08-05 13:04:28.448858,0 days 00:00:30.001711,1.0,vector,0.0,COMPLETE
74,74,872442.0,2024-08-05 13:04:28.448954,2024-08-05 13:04:58.450423,0 days 00:00:30.001469,1.0,vector,0.0,COMPLETE
75,75,737620.0,2024-08-05 13:04:58.450528,2024-08-05 13:05:28.452013,0 days 00:00:30.001485,1.0,hash-linklist,0.0,COMPLETE
76,76,744147.0,2024-08-05 13:05:28.452121,2024-08-05 13:05:58.453624,0 days 00:00:30.001503,1.0,vector,0.0,COMPLETE
77,77,733999.0,2024-08-05 13:05:58.453722,2024-08-05 13:06:28.456012,0 days 00:00:30.002290,1.0,vector,0.0,COMPLETE
78,78,740736.0,2024-08-05 13:06:28.456149,2024-08-05 13:06:58.457843,0 days 00:00:30.001694,1.0,hash-linklist,0.0,COMPLETE
79,79,737409.0,2024-08-05 13:06:58.457947,2024-08-05 13:07:28.459613,0 days 00:00:30.001666,1.0,vector,0.0,COMPLETE
80,80,733999.0,2024-08-05 13:07:28.459739,2024-08-05 13:07:58.461703,0 days 00:00:30.001964,1.0,skiplist,0.0,COMPLETE
81,81,791502.0,2024-08-05 13:07:58.461810,2024-08-05 13:08:28.463165,0 days 00:00:30.001355,1.0,vector,0.0,COMPLETE
82,82,815178.0,2024-08-05 13:08:28.463285,2024-08-05 13:08:58.465569,0 days 00:00:30.002284,1.0,vector,0.0,COMPLETE
83,83,727234.0,2024-08-05 13:08:58.465709,2024-08-05 13:09:28.467918,0 days 00:00:30.002209,1.0,vector,0.0,COMPLETE
84,84,733999.0,2024-08-05 13:09:28.468052,2024-08-05 13:09:58.470366,0 days 00:00:30.002314,1.0,hash-linklist,0.0,COMPLETE
85,85,750912.0,2024-08-05 13:09:58.470497,2024-08-05 13:10:28.472235,0 days 00:00:30.001738,1.0,vector,0.0,COMPLETE
86,86,825326.0,2024-08-05 13:10:28.472333,2024-08-05 13:10:58.473750,0 days 00:00:30.001417,1.0,hash-linklist,0.0,COMPLETE
87,87,774589.0,2024-08-05 13:10:58.473857,2024-08-05 13:11:28.475365,0 days 00:00:30.001508,1.0,vector,0.0,COMPLETE
88,88,734552.0,2024-08-05 13:11:28.475468,2024-08-05 13:11:58.476926,0 days 00:00:30.001458,1.0,hash-linklist,0.0,COMPLETE
89,89,713151.0,2024-08-05 13:11:58.477035,2024-08-05 13:12:28.478665,0 days 00:00:30.001630,1.0,skiplist,0.0,COMPLETE
90,90,767823.0,2024-08-05 13:12:28.478765,2024-08-05 13:12:58.480349,0 days 00:00:30.001584,1.0,vector,0.0,COMPLETE
91,91,733999.0,2024-08-05 13:12:58.480426,2024-08-05 13:13:28.482098,0 days 00:00:30.001672,1.0,vector,0.0,COMPLETE
92,92,757677.0,2024-08-05 13:13:28.482197,2024-08-05 13:13:58.483754,0 days 00:00:30.001557,1.0,vector,0.0,COMPLETE
93,93,781354.0,2024-08-05 13:13:58.483866,2024-08-05 13:29:22.446976,0 days 00:15:23.963110,1.0,vector,0.0,COMPLETE
94,94,733999.0,2024-08-05 13:29:22.447130,2024-08-05 13:29:52.449128,0 days 00:00:30.001998,1.0,vector,0.0,COMPLETE
95,95,737886.0,2024-08-05 13:29:52.449295,2024-08-05 13:30:22.450797,0 days 00:00:30.001502,1.0,hash-linklist,0.0,COMPLETE
96,96,774084.0,2024-08-05 13:30:22.450905,2024-08-05 13:30:52.452522,0 days 00:00:30.001617,1.0,vector,0.0,COMPLETE
97,97,825326.0,2024-08-05 13:30:52.452623,2024-08-05 13:31:22.454204,0 days 00:00:30.001581,1.0,hash-linklist,0.0,COMPLETE
98,98,757676.0,2024-08-05 13:31:22.454303,2024-08-05 13:31:52.455840,0 days 00:00:30.001537,1.0,vector,0.0,COMPLETE
99,99,733999.0,2024-08-05 13:31:52.455961,2024-08-05 13:32:22.459321,0 days 00:00:30.003360,1.0,hash-linklist,0.0,COMPLETE
100,100,740764.0,2024-08-05 13:32:22.459458,2024-08-05 13:32:52.461761,0 days 00:00:30.002303,1.0,vector,0.0,COMPLETE
101,101,767824.0,2024-08-05 13:32:52.461930,2024-08-05 13:33:22.463799,0 days 00:00:30.001869,1.0,vector,0.0,COMPLETE
102,102,838856.0,2024-08-05 13:33:22.463927,2024-08-05 13:33:52.468484,0 days 00:00:30.004557,1.0,vector,0.0,COMPLETE
103,103,733999.0,2024-08-05 13:33:52.468627,2024-08-05 13:34:22.470410,0 days 00:00:30.001783,1.0,vector,0.0,COMPLETE
104,104,798266.0,2024-08-05 13:34:22.470514,2024-08-05 13:34:52.472179,0 days 00:00:30.001665,1.0,vector,0.0,COMPLETE
105,105,811797.0,2024-08-05 13:34:52.472299,2024-08-05 13:35:22.473903,0 days 00:00:30.001604,1.0,hash-linklist,0.0,COMPLETE
106,106,747528.0,2024-08-05 13:35:22.474005,2024-08-05 13:35:52.475460,0 days 00:00:30.001455,1.0,vector,0.0,COMPLETE
107,107,731254.0,2024-08-05 13:35:52.475563,2024-08-05 13:36:22.477038,0 days 00:00:30.001475,1.0,skiplist,0.0,COMPLETE
108,108,746892.0,2024-08-05 13:36:22.477149,2024-08-05 13:36:52.478825,0 days 00:00:30.001676,1.0,hash-linklist,0.0,COMPLETE
109,109,747529.0,2024-08-05 13:36:52.478934,2024-08-05 13:37:22.481271,0 days 00:00:30.002337,1.0,vector,0.0,COMPLETE
110,110,740568.0,2024-08-05 13:37:22.481395,2024-08-05 13:37:52.483013,0 days 00:00:30.001618,1.0,hash-linklist,0.0,COMPLETE
111,111,744342.0,2024-08-05 13:37:52.483128,2024-08-05 13:38:22.484892,0 days 00:00:30.001764,1.0,vector,0.0,COMPLETE
112,112,733999.0,2024-08-05 13:38:22.484998,2024-08-05 13:38:52.486746,0 days 00:00:30.001748,1.0,vector,0.0,COMPLETE
113,113,744147.0,2024-08-05 13:38:52.486901,2024-08-05 13:39:22.488467,0 days 00:00:30.001566,1.0,vector,0.0,COMPLETE
114,114,862533.0,2024-08-05 13:39:22.488569,2024-08-05 13:39:52.490921,0 days 00:00:30.002352,1.0,vector,0.0,COMPLETE
115,115,733999.0,2024-08-05 13:39:52.491027,2024-08-05 13:40:22.493175,0 days 00:00:30.002148,1.0,vector,0.0,COMPLETE
116,116,771206.0,2024-08-05 13:40:22.493307,2024-08-05 13:40:52.495098,0 days 00:00:30.001791,1.0,vector,0.0,COMPLETE
117,117,825326.0,2024-08-05 13:40:52.495202,2024-08-05 13:41:22.496701,0 days 00:00:30.001499,1.0,hash-linklist,0.0,COMPLETE
118,118,754294.0,2024-08-05 13:41:22.496803,2024-08-05 13:41:52.498155,0 days 00:00:30.001352,1.0,vector,0.0,COMPLETE
119,119,730617.0,2024-08-05 13:41:52.498259,2024-08-05 13:42:22.500186,0 days 00:00:30.001927,1.0,hash-linklist,0.0,COMPLETE
120,120,735620.0,2024-08-05 13:42:22.500291,2024-08-05 13:42:52.501696,0 days 00:00:30.001405,1.0,vector,0.0,COMPLETE
121,121,783115.0,2024-08-05 13:42:52.501806,2024-08-05 13:43:22.503267,0 days 00:00:30.001461,1.0,vector,0.0,COMPLETE
122,122,819374.0,2024-08-05 13:43:22.503390,2024-08-05 13:43:52.505484,0 days 00:00:30.002094,1.0,vector,0.0,COMPLETE
123,123,0.0,2024-08-05 13:43:52.505620,2024-08-05 13:43:52.507252,0 days 00:00:00.001632,1.0,vector,0.0,COMPLETE
